City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,kiryat gat,31.61,34.7642,18.93,47,92,1.16,IL,1701330626
173,taft,31.7471,54.2088,13.97,36,0,1.03,IR,1701330627
174,hermanus,-34.4187,19.2345,25.47,43,73,0.54,ZA,1701330449
175,rehoboth,-23.3167,17.0833,30.76,23,4,6.91,NA,1701330628
176,coracora,-15.0333,-73.7833,11.74,56,100,0.2,PE,1701330628
177,lihue,21.9789,-159.3672,22.77,81,40,4.63,US,1701330630
178,bel ombre,-4.6167,55.4167,29.91,70,40,1.54,SC,1701330630
179,ambohitseheno,-18.783,47.7763,26.91,31,21,0.81,MG,1701330631
180,rio verde de mato grosso,-18.9181,-54.8442,26.03,60,32,1.62,BR,1701330631
181,arkalyk,50.2486,66.9114,-2.64,85,100,11.24,KZ,1701330632
182,dingcheng,32.1272,115.0394,6.51,23,100,3.17,CN,1701330633
183,tual,-5.6667,132.75,29.06,73,77,3.56,ID,1701330633
184,ciudad rodrigo,40.6,-6.5333,12.1,93,100,5.96,ES,1701330634
185,bangkalan,-7.0455,112.7351,31.97,66,100,3.86,ID,1701330634
186,weno,7.4515,151.8468,29.97,74,40,3.6,FM,1701330635
187,kapuskasing,49.4169,-82.4331,-0.95,80,100,5.66,CA,1701330468
188,mount isa,-20.7333,139.5,34.87,28,49,3.6,AU,1701330450
189,kailua-kona,19.6406,-155.9956,24.98,98,75,1.54,US,1701330410
190,tsiombe,-25.3,45.4833,34.71,34,61,3.58,MG,1701330636
191,nar'yan-mar,67.6713,53.087,-9.94,96,99,3.13,RU,1701330461
192,nieuw amsterdam,5.8833,-55.0833,25.09,89,85,3.8,SR,1701330637
193,altamira,-3.2033,-52.2064,22.12,94,29,1.21,BR,1701330637
194,haiku-pauwela,20.9219,-156.3051,25.84,91,40,2.57,US,1701330637
195,tergnier,49.6561,3.3011,1.16,92,100,2.24,FR,1701330638
196,i-n-salah,27.1935,2.4607,18.42,19,0,1.62,DZ,1701330638
197,alto araguaia,-17.3147,-53.2153,21.99,65,14,1.0,BR,1701330639
198,cristalina,-16.7686,-47.6136,18.29,74,100,0.95,BR,1701330639
199,isheyevka,54.4167,48.2667,-3.21,90,96,6.97,RU,1701330639
200,stanley,54.868,-1.6985,0.98,90,40,1.54,GB,1701330442
201,manicore,-5.8092,-61.3003,23.89,90,96,0.86,BR,1701330640
202,valparaiso,-33.0393,-71.6273,10.8,87,0,0.51,CL,1701330574
203,ulsteinvik,62.3432,5.8487,2.09,62,100,2.24,NO,1701330395
204,tura,25.5198,90.2201,27.02,43,0,0.75,IN,1701330641
205,kharp,66.8014,65.8081,-16.1,99,73,1.25,RU,1701330641
206,guerrero negro,27.9769,-114.0611,17.84,61,37,7.71,MX,1701330642
207,carnarvon,-24.8667,113.6333,24.87,60,0,8.51,AU,1701330461
208,midvagur,62.0511,-7.1939,2.46,87,75,8.75,FO,1701330642
209,dul'durga,50.6761,113.5931,-13.14,78,29,2.06,RU,1701330643
210,yangambi,0.8102,24.4336,24.84,83,100,1.75,CD,1701330643
211,geraldton,-28.7667,114.6,28.23,57,0,8.23,AU,1701330454
212,thames,-37.1333,175.5333,13.39,67,100,2.42,NZ,1701330644
213,bernardo de irigoyen,-26.2552,-53.6458,18.88,98,2,1.12,AR,1701330457
214,santa marta,11.2408,-74.199,28.27,77,24,4.47,CO,1701330645
215,vila velha,-20.3297,-40.2925,24.97,87,0,4.63,BR,1701330645
216,alice springs,-23.7,133.8833,24.75,69,87,4.12,AU,1701330646
217,fort bragg,35.139,-79.006,2.32,75,0,0.0,US,1701330646
218,puerto leguizamo,-0.1934,-74.7819,21.38,99,46,0.51,CO,1701330646
219,kupang,-10.1667,123.5833,34.32,59,40,4.63,ID,1701330485
220,shingu,33.7333,135.9833,9.36,57,99,2.97,JP,1701330647
